Initiative,Quarter,Epic Key,JIRA Link,Epic Title,Epic Type,Epic Status,T-Shirt Size,Epic Size (Sprints),Epic Size (% of Total),Epic Size A,∑ Story Points,∑ Story Points (% of Total),Milestone,Domain,Group,Squad,Sprint,Iteration
Critical Run,Q4,EPIC-111,https://gojira.westpac.co.nz/browse/EPIC-111,Q1 2024 - Monitoring System Setup,Critical Run,Completed,Small,1,0.01,0.01,1.0,12,0.016276042,Q1 2024 S2,Infrastructure,Business & Specialised Lending,Platform Team,Q1 2024 S1,Iteration 1
Feature Development,Q4,EPIC-112,https://gojira.westpac.co.nz/browse/EPIC-112,Q1 2024 - Mobile App Redesign,Feature,Completed,Large,3,0.03,0.03,3.0,45,0.01484375,Q1 2024 S1,Product,Business & Specialised Lending,Frontend Team,Q1 2024 S2,Iteration 2
Platform Upgrade,Q4,EPIC-113,https://gojira.westpac.co.nz/browse/EPIC-113,Q1 2024 - Data Pipeline Optimization,Platform,Completed,X-Large,2,0.02,0.02,2.0,34,0.008984375,Q1 2024 S1,Data,Product Experience,Data Team,Q1 2024 S2,Iteration 3
Tech Debt Reduction,Q4,EPIC-114,https://gojira.westpac.co.nz/browse/EPIC-114,Q1 2024 - Legacy System Migration,Tech Debt,In Progress,Large,4,0.04,0.04,4.0,78,0.011197917,Q1 2024 S2,Infrastructure,Product Experience,Backend Team,Q1 2024 S2,Iteration 4
Feature Development,Q4,EPIC-115,https://gojira.westpac.co.nz/browse/EPIC-115,Q1 2024 - E-commerce Platform,Feature,Completed,Medium,2,0.02,0.02,2.0,56,0.017708333,Q1 2024 S4,Product,Business & Specialised Lending,Frontend Team,Q1 2024 S2,Iteration 3
Platform Upgrade,Q4,EPIC-116,https://gojira.westpac.co.nz/browse/EPIC-116,Q1 2024 - Cloud Infrastructure Migration,Platform,In Progress,Large,5,0.05,0.05,5.0,92,0.010026042,Q1 2024 S2,Infrastructure,Data Insights,Platform Team,Q1 2024 S3,Iteration 2
Critical Run,Q4,EPIC-117,https://gojira.westpac.co.nz/browse/EPIC-117,Q1 2024 - Backup System Enhancement,Critical Run,Completed,Medium,1,0.01,0.01,1.0,15,0.015494792,Q1 2024 S3,Infrastructure,Data Insights,Platform Team,Q1 2024 S3,Iteration 2
Feature Development,Q4,EPIC-118,https://gojira.westpac.co.nz/browse/EPIC-118,Q1 2024 - Customer Portal,Feature,Backlog,Large,3,0.03,0.03,3.0,67,0.026041667,Q1 2024 S1,Product,Data Insights,Frontend Team,Q1 2024 S3,Iteration 1
Platform Upgrade,Q4,EPIC-119,https://gojira.westpac.co.nz/browse/EPIC-119,Q1 2024 - API Versioning System,Platform,Backlog,Small,2,0.02,0.02,2.0,23,0.026041667,Q1 2024 S2,Infrastructure,Data Insights,Backend Team,Q1 2024 S4,Iteration 3
Tech Debt Reduction,Q4,EPIC-120,https://gojira.westpac.co.nz/browse/EPIC-120,Q1 2024 - Performance Optimization,Tech Debt,Backlog,Small,3,0.03,0.03,3.0,19,0.016145833,Q1 2024 S1,Product,Engineering Excellence,Backend Team,Q1 2024 S3,Iteration 4
Feature Development,Q4,EPIC-121,https://gojira.westpac.co.nz/browse/EPIC-121,Q2 2024 - Advanced Analytics,Feature,In Progress,Large,4,0.04,0.04,4.0,89,0.023697917,Q2 2024 S1,Data,Business & Specialised Lending,Data Team,Q2 2024 S1,Iteration 1
Platform Upgrade,Q4,EPIC-122,https://gojira.westpac.co.nz/browse/EPIC-122,Q2 2024 - Kubernetes Migration,Platform,Backlog,X-Large,5,0.05,0.05,5.0,134,0.019140625,Q2 2024 S2,Infrastructure,Engineering Excellence,Platform Team,Q2 2024 S2,Iteration 2
Critical Run,Q4,EPIC-123,https://gojira.westpac.co.nz/browse/EPIC-123,Q2 2024 - Security Audit Implementation,Critical Run,In Progress,Medium,2,0.02,0.02,2.0,28,0.007942708,Q2 2024 S3,Infrastructure,Data Insights,Backend Team,Q2 2024 S3,Iteration 3
Feature Development,Q4,EPIC-124,https://gojira.westpac.co.nz/browse/EPIC-124,Q2 2024 - Machine Learning Pipeline,Feature,Backlog,Large,3,0.03,0.03,3.0,76,0.010286458,Q2 2024 S1,Data,Business & Specialised Lending,Data Team,Q2 2024 S4,Iteration 4
Platform Upgrade,Q4,EPIC-125,https://gojira.westpac.co.nz/browse/EPIC-125,Q2 2024 - CI/CD Pipeline Enhancement,Platform,In Progress,Medium,2,0.02,0.02,2.0,31,0.01953125,Q2 2024 S4,Infrastructure,Product Experience,Platform Team,Q2 2024 S1,Iteration 4
Tech Debt Reduction,Q4,EPIC-126,https://gojira.westpac.co.nz/browse/EPIC-126,Q2 2024 - Database Schema Optimization,Tech Debt,In Progress,X-Large,4,0.04,0.04,4.0,98,0.022786458,Q2 2024 S3,Data,Product Experience,Data Team,Q2 2024 S2,Iteration 4
Feature Development,Q4,EPIC-127,https://gojira.westpac.co.nz/browse/EPIC-127,Q2 2024 - Real-time Notifications,Feature,Completed,Small,1,0.01,0.01,1.0,14,0.019270833,Q2 2024 S4,Product,Business & Specialised Lending,Frontend Team,Q2 2024 S3,Iteration 4
Platform Upgrade,Q4,EPIC-128,https://gojira.westpac.co.nz/browse/EPIC-128,Q2 2024 - Service Mesh Implementation,Platform,In Progress,Medium,3,0.03,0.03,3.0,45,0.002734375,Q2 2024 S3,Infrastructure,Engineering Excellence,Platform Team,Q2 2024 S2,Iteration 2
Critical Run,Q4,EPIC-129,https://gojira.westpac.co.nz/browse/EPIC-129,Q2 2024 - Disaster Recovery Setup,Critical Run,Backlog,Large,2,0.02,0.02,2.0,38,0.0203125,Q2 2024 S3,Infrastructure,Data Insights,Platform Team,Q2 2024 S1,Iteration 2
Feature Development,Q4,EPIC-130,https://gojira.westpac.co.nz/browse/EPIC-130,Q2 2024 - Business Intelligence Dashboard,Feature,Backlog,X-Large,5,0.05,0.05,5.0,156,0.016276042,Q2 2024 S3,Data,Business & Specialised Lending,Data Team,Q2 2024 S3,Iteration 1
Platform Upgrade,Q4,EPIC-131,https://gojira.westpac.co.nz/browse/EPIC-131,Q2 2024 - Multi-region Deployment,Platform,In Progress,Large,4,0.04,0.04,4.0,87,0.00546875,Q2 2024 S2,Infrastructure,Product Experience,Platform Team,Q2 2024 S1,Iteration 3
Tech Debt Reduction,Q4,EPIC-132,https://gojira.westpac.co.nz/browse/EPIC-132,Q2 2024 - Legacy Code Cleanup,Tech Debt,Completed,Medium,2,0.02,0.02,2.0,29,0.009635417,Q2 2024 S2,Product,Data Insights,Backend Team,Q2 2024 S4,Iteration 1
Feature Development,Q4,EPIC-133,https://gojira.westpac.co.nz/browse/EPIC-133,Q2 2024 - Mobile App Enhancement,Feature,Backlog,Large,3,0.03,0.03,3.0,67,0.024739583,Q2 2024 S4,Product,Engineering Excellence,Frontend Team,Q2 2024 S3,Iteration 3
Platform Upgrade,Q4,EPIC-134,https://gojira.westpac.co.nz/browse/EPIC-134,Q2 2024 - GraphQL API Implementation,Platform,In Progress,X-Large,4,0.04,0.04,4.0,112,0.004036458,Q2 2024 S4,Infrastructure,Business & Specialised Lending,Backend Team,Q2 2024 S2,Iteration 4
Critical Run,Q4,EPIC-135,https://gojira.westpac.co.nz/browse/EPIC-135,Q2 2024 - Performance Monitoring,Critical Run,Backlog,Small,2,0.02,0.02,2.0,18,0.017447917,Q2 2024 S3,Infrastructure,Engineering Excellence,Platform Team,Q2 2024 S4,Iteration 2
Feature Development,Q4,EPIC-136,https://gojira.westpac.co.nz/browse/EPIC-136,Q3 2024 - Data Warehouse Migration,Feature,Completed,Large,5,0.05,0.05,5.0,145,0.0171875,Q3 2024 S1,Data,Business & Specialised Lending,Data Team,Q3 2024 S2,Iteration 4
Platform Upgrade,Q4,EPIC-137,https://gojira.westpac.co.nz/browse/EPIC-137,Q3 2024 - Container Orchestration,Platform,In Progress,X-Large,3,0.03,0.03,3.0,78,0.003125,Q3 2024 S2,Infrastructure,Product Experience,Platform Team,Q3 2024 S2,Iteration 3
Tech Debt Reduction,Q4,EPIC-138,https://gojira.westpac.co.nz/browse/EPIC-138,Q3 2024 - Security Framework Update,Tech Debt,Backlog,Medium,2,0.02,0.02,2.0,34,0.017057292,Q3 2024 S1,Infrastructure,Business & Specialised Lending,Backend Team,Q3 2024 S3,Iteration 4
Feature Development,Q4,EPIC-139,https://gojira.westpac.co.nz/browse/EPIC-139,Q3 2024 - Customer Analytics Platform,Feature,In Progress,X-Large,4,0.04,0.04,4.0,123,0.024869792,Q3 2024 S2,Data,Product Experience,Data Team,Q3 2024 S1,Iteration 4
Platform Upgrade,Q4,EPIC-140,https://gojira.westpac.co.nz/browse/EPIC-140,Q3 2024 - Microservices Communication,Platform,Completed,Small,3,0.03,0.03,3.0,42,0.005729167,Q3 2024 S4,Infrastructure,Security,Platform Team,Q3 2024 S2,Iteration 1
Critical Run,Q4,EPIC-141,https://gojira.westpac.co.nz/browse/EPIC-141,Q3 2024 - Load Testing Infrastructure,Critical Run,In Progress,Medium,2,0.02,0.02,2.0,26,0.01171875,Q3 2024 S1,Infrastructure,Business & Specialised Lending,Platform Team,Q3 2024 S3,Iteration 1
Feature Development,Q4,EPIC-142,https://gojira.westpac.co.nz/browse/EPIC-142,Q3 2024 - Advanced Search Engine,Feature,Backlog,Large,3,0.03,0.03,3.0,89,0.023697917,Q3 2024 S2,Product,Data Insights,Backend Team,Q3 2024 S4,Iteration 2
Platform Upgrade,Q4,EPIC-143,https://gojira.westpac.co.nz/browse/EPIC-143,Q3 2024 - Event Streaming Platform,Platform,In Progress,X-Large,5,0.05,0.05,5.0,167,0.019140625,Q3 2024 S3,Infrastructure,Engineering Excellence,Platform Team,Q3 2024 S1,Iteration 3
Tech Debt Reduction,Q4,EPIC-144,https://gojira.westpac.co.nz/browse/EPIC-144,Q3 2024 - Code Quality Improvement,Tech Debt,Completed,Medium,2,0.02,0.02,2.0,31,0.007942708,Q3 2024 S4,Product,Data Insights,Frontend Team,Q3 2024 S2,Iteration 4
Feature Development,Q4,EPIC-145,https://gojira.westpac.co.nz/browse/EPIC-145,Q3 2024 - Automated Testing Framework,Feature,Backlog,Large,4,0.04,0.04,4.0,98,0.010286458,Q3 2024 S1,Infrastructure,Business & Specialised Lending,QA Team,Q3 2024 S4,Iteration 1
Platform Upgrade,Q4,EPIC-146,https://gojira.westpac.co.nz/browse/EPIC-146,Q3 2024 - Database Sharding Implementation,Platform,In Progress,X-Large,3,0.03,0.03,3.0,76,0.01953125,Q3 2024 S2,Data,Product Experience,Data Team,Q3 2024 S1,Iteration 4
Critical Run,Q4,EPIC-147,https://gojira.westpac.co.nz/browse/EPIC-147,Q3 2024 - Backup Verification System,Critical Run,Backlog,Small,2,0.02,0.02,2.0,19,0.022786458,Q3 2024 S3,Infrastructure,Engineering Excellence,Platform Team,Q3 2024 S3,Iteration 2
Feature Development,Q4,EPIC-148,https://gojira.westpac.co.nz/browse/EPIC-148,Q3 2024 - User Experience Enhancement,Feature,Completed,Medium,2,0.02,0.02,2.0,45,0.019270833,Q3 2024 S4,Product,Business & Specialised Lending,Design Team,Q3 2024 S2,Iteration 4
Platform Upgrade,Q4,EPIC-149,https://gojira.westpac.co.nz/browse/EPIC-149,Q3 2024 - API Rate Limiting,Platform,In Progress,Medium,1,0.01,0.01,1.0,12,0.002734375,Q3 2024 S3,Infrastructure,Engineering Excellence,Backend Team,Q3 2024 S1,Iteration 2
Tech Debt Reduction,Q4,EPIC-150,https://gojira.westpac.co.nz/browse/EPIC-150,Q3 2024 - Performance Optimization,Tech Debt,Backlog,Large,3,0.03,0.03,3.0,67,0.0203125,Q3 2024 S3,Product,Data Insights,Frontend Team,Q3 2024 S4,Iteration 3
Feature Development,Q4,EPIC-151,https://gojira.westpac.co.nz/browse/EPIC-151,Q4 2024 - Machine Learning Models,Feature,In Progress,X-Large,5,0.05,0.05,5.0,178,0.016276042,Q4 2024 S1,Data,Business & Specialised Lending,Data Team,Q4 2024 S1,Iteration 1
Platform Upgrade,Q4,EPIC-152,https://gojira.westpac.co.nz/browse/EPIC-152,Q4 2024 - Serverless Architecture,Platform,Backlog,X-Large,4,0.04,0.04,4.0,134,0.00546875,Q4 2024 S2,Infrastructure,Product Experience,Platform Team,Q4 2024 S1,Iteration 3
Critical Run,Q4,EPIC-153,https://gojira.westpac.co.nz/browse/EPIC-153,Q4 2024 - Security Monitoring,Critical Run,In Progress,Medium,2,0.02,0.02,2.0,38,0.009635417,Q4 2024 S2,Infrastructure,Data Insights,Backend Team,Q4 2024 S2,Iteration 1
Feature Development,Q4,EPIC-154,https://gojira.westpac.co.nz/browse/EPIC-154,Q4 2024 - Real-time Analytics,Feature,Completed,Large,3,0.03,0.03,3.0,89,0.024739583,Q4 2024 S3,Data,Engineering Excellence,Data Team,Q4 2024 S3,Iteration 3
Platform Upgrade,Q4,EPIC-155,https://gojira.westpac.co.nz/browse/EPIC-155,Q4 2024 - Database Migration,Platform,In Progress,X-Large,4,0.04,0.04,4.0,156,0.004036458,Q4 2024 S4,Infrastructure,Business & Specialised Lending,Data Team,Q4 2024 S2,Iteration 4
Tech Debt Reduction,Q4,EPIC-156,https://gojira.westpac.co.nz/browse/EPIC-156,Q4 2024 - Code Refactoring,Tech Debt,Backlog,Medium,2,0.02,0.02,2.0,42,0.017447917,Q4 2024 S3,Product,Engineering Excellence,Backend Team,Q4 2024 S4,Iteration 2
Feature Development,Q4,EPIC-157,https://gojira.westpac.co.nz/browse/EPIC-157,Q4 2024 - Mobile App Optimization,Feature,In Progress,Large,3,0.03,0.03,3.0,78,0.0171875,Q4 2024 S1,Product,Business & Specialised Lending,Frontend Team,Q4 2024 S2,Iteration 4
Platform Upgrade,Q4,EPIC-158,https://gojira.westpac.co.nz/browse/EPIC-158,Q4 2024 - Cloud Native Migration,Platform,Completed,X-Large,5,0.05,0.05,5.0,198,0.003125,Q4 2024 S2,Infrastructure,Product Experience,Platform Team,Q4 2024 S2,Iteration 3
Critical Run,Q4,EPIC-159,https://gojira.westpac.co.nz/browse/EPIC-159,Q4 2024 - Disaster Recovery Testing,Critical Run,In Progress,Medium,2,0.02,0.02,2.0,34,0.017057292,Q4 2024 S3,Infrastructure,Business & Specialised Lending,Platform Team,Q4 2024 S3,Iteration 4
Feature Development,Q4,EPIC-160,https://gojira.westpac.co.nz/browse/EPIC-160,Q4 2024 - Business Intelligence Enhancement,Feature,Backlog,X-Large,4,0.04,0.04,4.0,167,0.024869792,Q4 2024 S4,Data,Product Experience,Data Team,Q4 2024 S1,Iteration 4
Platform Upgrade,Q4,EPIC-161,https://gojira.westpac.co.nz/browse/EPIC-161,Q4 2024 - API Gateway Enhancement,Platform,Completed,Small,3,0.03,0.03,3.0,56,0.005729167,Q4 2024 S4,Infrastructure,Security,Backend Team,Q4 2024 S2,Iteration 1
Tech Debt Reduction,Q4,EPIC-162,https://gojira.westpac.co.nz/browse/EPIC-162,Q4 2024 - Legacy System Integration,Tech Debt,In Progress,Medium,2,0.02,0.02,2.0,45,0.01171875,Q4 2024 S1,Infrastructure,Business & Specialised Lending,Platform Team,Q4 2024 S3,Iteration 1
Feature Development,Q4,EPIC-163,https://gojira.westpac.co.nz/browse/EPIC-163,Q4 2024 - Customer Portal Enhancement,Feature,Backlog,Large,3,0.03,0.03,3.0,98,0.023697917,Q4 2024 S2,Product,Data Insights,Frontend Team,Q4 2024 S4,Iteration 2
Platform Upgrade,Q4,EPIC-164,https://gojira.westpac.co.nz/browse/EPIC-164,Q4 2024 - Monitoring System Upgrade,Platform,In Progress,X-Large,5,0.05,0.05,5.0,189,0.019140625,Q4 2024 S3,Infrastructure,Engineering Excellence,Platform Team,Q4 2024 S1,Iteration 3
Critical Run,Q4,EPIC-165,https://gojira.westpac.co.nz/browse/EPIC-165,Q4 2024 - Performance Optimization,Critical Run,Completed,Medium,2,0.02,0.02,2.0,38,0.007942708,Q4 2024 S4,Product,Data Insights,Backend Team,Q4 2024 S2,Iteration 4
Feature Development,Q4,EPIC-166,https://gojira.westpac.co.nz/browse/EPIC-166,Q4 2024 - Data Pipeline Enhancement,Feature,Backlog,Large,4,0.04,0.04,4.0,123,0.010286458,Q4 2024 S1,Data,Business & Specialised Lending,Data Team,Q4 2024 S4,Iteration 1
Platform Upgrade,Q4,EPIC-167,https://gojira.westpac.co.nz/browse/EPIC-167,Q4 2024 - Container Security,Platform,In Progress,X-Large,3,0.03,0.03,3.0,89,0.01953125,Q4 2024 S2,Infrastructure,Product Experience,Platform Team,Q4 2024 S1,Iteration 4
Tech Debt Reduction,Q4,EPIC-168,https://gojira.westpac.co.nz/browse/EPIC-168,Q4 2024 - Code Quality Metrics,Tech Debt,Backlog,Small,2,0.02,0.02,2.0,23,0.022786458,Q4 2024 S3,Product,Engineering Excellence,QA Team,Q4 2024 S3,Iteration 2
Feature Development,Q4,EPIC-169,https://gojira.westpac.co.nz/browse/EPIC-169,Q4 2024 - User Interface Modernization,Feature,Completed,Medium,2,0.02,0.02,2.0,67,0.019270833,Q4 2024 S4,Product,Business & Specialised Lending,Design Team,Q4 2024 S2,Iteration 4
Platform Upgrade,Q4,EPIC-170,https://gojira.westpac.co.nz/browse/EPIC-170,Q4 2024 - Load Balancing Enhancement,Platform,In Progress,Medium,1,0.01,0.01,1.0,15,0.002734375,Q4 2024 S3,Infrastructure,Engineering Excellence,Platform Team,Q4 2024 S1,Iteration 2 
