team_name,quarter,iteration_number,epic_name,project_name,percentage,notes
Business Risk Management,Q1 2024,2,Data Integration Layer,Credit Risk Engine,35,Data completion
Business Risk Management,Q1 2024,2,Compliance & Security,,25,Risk compliance
Credit Card Platform,Q1 2024,1,Real-time Processing,Payment Processing Hub,50,Card processing
Credit Card Platform,Q1 2024,1,Production Support,,30,Card support
Credit Card Platform,Q1 2024,1,Performance Optimization,,20,System optimization
Credit Card Platform,Q1 2024,2,Real-time Processing,Payment Processing Hub,45,Processing optimization
Credit Card Platform,Q1 2024,2,Fraud Prevention,Payment Processing Hub,30,Fraud integration
Credit Card Platform,Q1 2024,2,Critical Run,,25,BAU activities
Payment Processing Engine,Q1 2024,1,Real-time Processing,Payment Processing Hub,50,Core processing development
Payment Processing Engine,Q1 2024,1,Payment Integration,Mobile Banking 2.0,25,Mobile payments
Payment Processing Engine,Q1 2024,1,Critical Run,,25,Payment support
Payment Processing Engine,Q1 2024,2,Real-time Processing,Payment Processing Hub,45,Processing optimization
Payment Processing Engine,Q1 2024,2,Payment Initiation API,Open Banking APIs,30,API development
Payment Processing Engine,Q1 2024,2,Production Support,,25,System monitoring
Payment Security,Q1 2024,1,Fraud Prevention,Payment Processing Hub,40,Fraud detection
Payment Security,Q1 2024,1,Machine Learning Models,Fraud Detection System,35,ML development
Payment Security,Q1 2024,1,Compliance & Security,,25,Security compliance
Payment Security,Q1 2024,2,Fraud Prevention,Payment Processing Hub,35,Fraud refinement
Payment Security,Q1 2024,2,Machine Learning Models,Fraud Detection System,40,Model training
Payment Security,Q1 2024,2,Critical Run,,25,Security monitoring
Card Fraud Detection,Q1 2024,1,Transaction Monitoring,Fraud Detection System,55,Real-time monitoring
Card Fraud Detection,Q1 2024,1,Production Support,,25,Fraud support
Card Fraud Detection,Q1 2024,1,Performance Optimization,,20,System tuning
Card Fraud Detection,Q1 2024,2,Transaction Monitoring,Fraud Detection System,50,Monitor enhancement
Card Fraud Detection,Q1 2024,2,Machine Learning Models,Fraud Detection System,30,ML integration
Card Fraud Detection,Q1 2024,2,Critical Run,,20,BAU fraud work
Digital Banking Platform,Q1 2024,1,Mobile Authentication,Mobile Banking 2.0,35,Biometric authentication
Digital Banking Platform,Q1 2024,1,API Gateway,Open Banking APIs,35,API platform
Digital Banking Platform,Q1 2024,1,Critical Run,,30,Platform maintenance
Digital Banking Platform,Q1 2024,2,Mobile Authentication,Mobile Banking 2.0,30,Auth completion
Digital Banking Platform,Q1 2024,2,API Gateway,Open Banking APIs,40,Gateway development
Digital Banking Platform,Q1 2024,2,Production Support,,30,System support
Mobile Banking App,Q1 2024,1,Account Management,Mobile Banking 2.0,45,Mobile UI development
Mobile Banking App,Q1 2024,1,Personal Finance Tools,Mobile Banking 2.0,30,Finance features
Mobile Banking App,Q1 2024,1,Bug Fixes,,25,Mobile bug fixes
Mobile Banking App,Q1 2024,2,Account Management,Mobile Banking 2.0,40,UI refinement
Mobile Banking App,Q1 2024,2,Personal Finance Tools,Mobile Banking 2.0,35,Feature completion
Mobile Banking App,Q1 2024,2,Critical Run,,25,App maintenance
Customer Onboarding,Q1 2024,1,Identity Verification,Customer Onboarding,50,ID verification development
Customer Onboarding,Q1 2024,1,Account Opening,Customer Onboarding,30,Account process
Customer Onboarding,Q1 2024,1,Critical Run,,20,Onboarding support
Customer Onboarding,Q1 2024,2,Identity Verification,Customer Onboarding,45,ID completion
Customer Onboarding,Q1 2024,2,Account Opening,Customer Onboarding,35,Process refinement
Customer Onboarding,Q1 2024,2,Production Support,,20,Support activities
Customer Analytics,Q1 2024,1,Personal Finance Tools,Mobile Banking 2.0,30,Analytics features
Customer Analytics,Q1 2024,1,Data Warehouse,Data Analytics Platform,45,Data platform
Customer Analytics,Q1 2024,1,Business as Usual,,25,Analytics support
Customer Analytics,Q1 2024,2,Personal Finance Tools,Mobile Banking 2.0,25,Feature completion
Customer Analytics,Q1 2024,2,Data Warehouse,Data Analytics Platform,50,Platform development
Customer Analytics,Q1 2024,2,Critical Run,,25,Analytics maintenance
