epic_id,name,description,project_id,project_name,effort,priority,status,team_id,team_name,start_date,end_date
epic-020,Reporting System,Enhanced reporting and dashboard capabilities,proj-004,Analytics Dashboard,42,medium,planning,team-011,Collections & Recovery,2024-07-01,2024-10-31
epic-021,Customer Portal,Core customer self-service portal,proj-005,Customer Portal,50,high,planning,team-010,Loan Servicing,2024-04-01,2024-08-31
epic-022,Digital Onboarding,Digital customer onboarding workflows,proj-005,Customer Portal,45,high,planning,team-007,Mortgage Origination,2024-05-01,2024-07-31
epic-023,Customer Communication,Customer communication and notification tools,proj-005,Customer Portal,38,medium,planning,team-010,Loan Servicing,2024-06-01,2024-09-30
epic-024,API Gateway Optimization,Core API gateway performance improvements,proj-006,API Gateway Optimization,46,medium,active,team-008,Personal Loans Platform,2024-02-01,2024-06-30
epic-025,Loan Origination API,Loan origination API development,proj-006,API Gateway Optimization,42,medium,active,team-007,Mortgage Origination,2024-04-01,2024-08-31
epic-026,Integration Platform,API integration platform for underwriting,proj-006,API Gateway Optimization,38,medium,planning,team-012,Mortgage Underwriting,2024-06-01,2024-09-30
epic-027,System Integration,System integration and API management,proj-006,API Gateway Optimization,40,medium,planning,team-008,Personal Loans Platform,2024-07-01,2024-10-31
epic-028,Recovery Optimization,Collections recovery process optimization,proj-007,Performance Optimization,44,medium,active,team-011,Collections & Recovery,2024-01-01,2024-07-31
epic-029,Performance Tuning,System performance optimization,proj-007,Performance Optimization,40,medium,active,team-008,Personal Loans Platform,2024-03-01,2024-08-31
epic-030,Process Optimization,Loan origination process optimization,proj-007,Performance Optimization,42,medium,active,team-007,Mortgage Origination,2024-05-01,2024-09-30
epic-031,Automated Workflows,Automated collection workflows,proj-007,Performance Optimization,46,medium,active,team-011,Collections & Recovery,2024-06-01,2024-08-31
epic-032,Service Optimization,Loan servicing optimization,proj-007,Performance Optimization,38,medium,planning,team-010,Loan Servicing,2024-07-01,2024-10-31
epic-033,Process Improvement,Process improvement initiatives,proj-007,Performance Optimization,35,low,planning,team-011,Collections & Recovery,2024-08-01,2024-11-30
epic-034,Security Enhancement,Platform security enhancements,proj-008,Security Framework Enhancement,48,high,active,team-008,Personal Loans Platform,2024-01-15,2024-09-30
epic-035,Compliance Framework,Regulatory compliance framework,proj-008,Security Framework Enhancement,45,high,active,team-012,Mortgage Underwriting,2024-02-01,2024-10-31
epic-036,Data Pipeline Setup,Data pipeline for loan processing,proj-009,Data Pipeline Optimization,45,high,active,team-008,Personal Loans Platform,2024-01-15,2024-07-31
epic-037,Pipeline Monitoring,Data pipeline monitoring and alerting,proj-009,Data Pipeline Optimization,38,medium,planning,team-009,Credit Assessment Engine,2024-04-01,2024-09-30
epic-038,Legacy Migration,Legacy system migration for mortgages,proj-010,Legacy System Migration,50,high,active,team-007,Mortgage Origination,2024-02-01,2024-10-31
epic-039,Data Migration,Legacy data migration and validation,proj-010,Legacy System Migration,42,high,active,team-008,Personal Loans Platform,2024-03-01,2024-09-30
epic-040,System Cutover,Legacy system cutover and testing,proj-010,Legacy System Migration,38,high,planning,team-010,Loan Servicing,2024-08-01,2024-11-30
epic-041,Monitoring Setup,Credit monitoring system setup,proj-011,Monitoring System Setup,42,medium,active,team-009,Credit Assessment Engine,2024-03-01,2024-09-30
epic-042,Alert Configuration,Monitoring alert configuration,proj-011,Monitoring System Setup,35,medium,planning,team-011,Collections & Recovery,2024-05-01,2024-10-31
epic-043,Critical Run,Business-as-usual operations and support work,,Critical Run,20,medium,active,team-007,Mortgage Origination,2024-01-01,2024-12-31
epic-044,Bug Fixes,Production issue resolution and bug fixes,,Bug Fixes,15,medium,active,team-007,Mortgage Origination,2024-01-01,2024-12-31
epic-045,Production Support,System monitoring and production support,,Production Support,18,medium,active,team-008,Personal Loans Platform,2024-01-01,2024-12-31
epic-046,System Maintenance,Ongoing system maintenance and updates,,System Maintenance,16,medium,active,team-010,Loan Servicing,2024-01-01,2024-12-31
epic-047,Compliance Monitoring,Regulatory compliance monitoring and audit,,Compliance Monitoring,22,high,active,team-011,Collections & Recovery,2024-01-01,2024-12-31
epic-048,Regulatory Compliance,Compliance and regulatory support activities,,Regulatory Compliance,20,high,active,team-012,Mortgage Underwriting,2024-01-01,2024-12-31
epic-049,Document Management,Document management system for underwriting,proj-001,Digital Mortgage Platform,38,medium,active,team-012,Mortgage Underwriting,2024-04-01,2024-08-31
epic-050,Workflow Automation,Workflow automation for underwriting processes,proj-001,Digital Mortgage Platform,35,medium,active,team-012,Mortgage Underwriting,2024-06-01,2024-09-30
epic-051,Quality Assurance,QA process automation for underwriting,proj-001,Digital Mortgage Platform,32,medium,planning,team-012,Mortgage Underwriting,2024-07-01,2024-10-31
epic-052,Documentation System,Documentation automation for underwriting,proj-001,Digital Mortgage Platform,28,low,planning,team-012,Mortgage Underwriting,2024-08-01,2024-11-30
