project_name,project_description,project_status,project_start_date,project_end_date,project_budget,epic_name,epic_description,epic_effort,epic_team,epic_target_date,milestone_name,milestone_due_date
Analytics Dashboard,,,,,,"Real-time Scoring",Real-time credit scoring capabilities,40,Credit Assessment Engine,2024-10-31,Real-time Scoring Live,2024-09-30
Analytics Dashboard,,,,,,"Risk Model Validation",Risk model validation and testing,38,Credit Assessment Engine,2024-11-30,Model Validation Complete,2024-10-31
Analytics Dashboard,,,,,,"Reporting System",Enhanced reporting and dashboard capabilities,42,Collections & Recovery,2024-10-31,Reporting System Live,2024-09-30
Customer Portal,Digital customer self-service portal,planning,2024-04-01,2024-10-31,1800000,Customer Portal,Core customer self-service portal,50,Loan Servicing,2024-08-31,Portal MVP,2024-06-30
Customer Portal,,,,,,"Digital Onboarding",Digital customer onboarding workflows,45,Mortgage Origination,2024-07-31,Onboarding Beta,2024-06-15
Customer Portal,,,,,,"Customer Communication",Customer communication and notification tools,38,Loan Servicing,2024-09-30,Communication Tools Live,2024-08-31
API Gateway Optimization,Enterprise API gateway performance optimization,active,2024-02-01,2024-10-31,1500000,API Gateway Optimization,Core API gateway performance improvements,46,Personal Loans Platform,2024-06-30,API Gateway V2,2024-05-31
API Gateway Optimization,,,,,,"Loan Origination API",Loan origination API development,42,Mortgage Origination,2024-08-31,Loan API Live,2024-07-31
API Gateway Optimization,,,,,,"Integration Platform",API integration platform for underwriting,38,Mortgage Underwriting,2024-09-30,Integration Platform Live,2024-08-31
API Gateway Optimization,,,,,,"System Integration",System integration and API management,40,Personal Loans Platform,2024-10-31,System Integration Complete,2024-09-30
Performance Optimization,System performance tuning and optimization,active,2024-01-01,2024-12-31,1200000,Recovery Optimization,Collections recovery process optimization,44,Collections & Recovery,2024-07-31,Recovery Optimization Live,2024-06-30
Performance Optimization,,,,,,"Performance Tuning",System performance optimization,40,Personal Loans Platform,2024-08-31,Performance Tuning Complete,2024-07-31
Performance Optimization,,,,,,"Process Optimization",Loan origination process optimization,42,Mortgage Origination,2024-09-30,Process Optimization Live,2024-08-31
Performance Optimization,,,,,,"Automated Workflows",Automated collection workflows,46,Collections & Recovery,2024-08-31,Workflow Automation Live,2024-07-31
Performance Optimization,,,,,,"Service Optimization",Loan servicing optimization,38,Loan Servicing,2024-10-31,Service Optimization Complete,2024-09-30
Performance Optimization,,,,,,"Process Improvement",Process improvement initiatives,35,Collections & Recovery,2024-11-30,Process Improvement Complete,2024-10-31
Security Framework Enhancement,Enterprise security and compliance framework,active,2024-01-15,2024-12-15,2100000,Security Enhancement,Platform security enhancements,48,Personal Loans Platform,2024-09-30,Security Framework V2,2024-08-31
Data Pipeline Optimization,Big data processing pipeline optimization,active,2024-01-15,2024-09-30,1600000,Data Pipeline Setup,Data pipeline for loan processing,45,Personal Loans Platform,2024-07-31,Data Pipeline Live,2024-06-30
Legacy System Migration,Legacy system modernization and migration,active,2024-02-01,2024-11-30,2500000,Legacy Migration,Legacy system migration for mortgages,50,Mortgage Origination,2024-10-31,Legacy Migration Complete,2024-09-30
Monitoring System Setup,Enterprise monitoring and observability platform,active,2024-03-01,2024-10-31,1100000,Monitoring Setup,Credit monitoring system setup,42,Credit Assessment Engine,2024-09-30,Monitoring System Live,2024-08-31
